sensor_1,28.5,65
sensor_2,21,60
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
sensor_1,28,65
sensor_2,21,60
sensor_3,40,67
sensor_4,30,50
